acquisition_time_s,first_track_time_s,tracking_rms_urad,tracking_max_urad,tracking_mean_urad,availability_pct,mean_distance_km,mean_lead_angle_urad,mean_light_time_ms,run
0.0,0.05,14.947449358756874,15.83476786422656,14.945720943426949,99.99166666666667,8843.22504315311,15.974245479993053,29.4983989070338,36
0.0,0.05,17.764707066818573,22.155656612915507,17.73071858747398,99.99166666666667,1820.9357902326242,3.296979870625865,6.073836247283729,37
0.0,0.05,18.385418562523743,19.332015603000073,18.384216332152974,99.99166666666667,9398.976748958614,16.978521185187308,31.35102753619484,38
0.0,0.05,17.039557335216834,21.661337837623897,16.997871639506037,99.99166666666667,1682.5265982258975,3.1024474741711376,5.612445140292371,39
0.0,0.05,17.770993449453073,22.5811107220301,17.724640922877512,99.99166666666667,1559.8433477355995,2.841314669454081,5.20294706654752,40
0.0,0.05,18.445369087647283,19.421204226183235,18.44351427007397,99.99166666666667,7676.478919053853,13.867502126146263,25.60543841196408,41
0.0,0.05,17.803045539156773,18.43267014277899,17.80227803153,99.99166666666667,12106.310106365554,21.868693497287893,40.38179705757964,42
0.0,0.05,14.829324818984807,15.403015419399127,14.82854126145737,99.99166666666667,13165.16025068193,23.78127622156535,43.91461501263874,43
0.0,0.05,15.718162058828533,16.951483953379196,15.714365229880684,99.99166666666667,5798.37388671822,10.4742461014655,19.341736988393137,44
0.0,0.05,17.70094709059034,21.480100098506178,17.669803512445558,99.99166666666667,1914.8071333991404,3.4766724575606456,6.38694962825792,45
0.0,0.05,15.256479958377406,16.404154985975037,15.253979683782287,99.99166666666667,7196.931982793238,13.001528659210319,24.006899591829907,46
0.0,0.05,17.63147783761557,30.504274776037978,17.266372637571013,99.99166666666667,557.4176263459609,1.51275613044896,1.8593917886515061,47
0.0,0.05,14.981682612883745,16.01374348387077,14.979817419370848,99.99166666666667,8516.088473364098,15.383959268896856,28.407180861781058,48
0.0,0.05,14.822307064152286,15.694750156617335,14.820710870305238,99.99166666666667,9268.832273086082,16.743514712756888,30.918079324072398,49
